Layer,Name,GEOID,Population,Longitude,Latitude,HCSPAP_2023-2024,HCSPAP_2023-2024_moe95,HCSSP_2023-2024,HCSSP_2023-2024_moe95,CHANVYI_2023,CHANVYI_2023_moe95,INC_2020-2024,INC_2020-2024_moe95,PCI_2020-2024,PCI_2020-2024_moe95,EKR_2024,EKR_2024_moe95,HCSFVAP_2023-2024,HCSFVAP_2023-2024_moe95,HCSSMKP_2023-2024,HCSSMKP_2023-2024_moe95,HCSECP_2023-2024,HCSECP_2023-2024_moe95,CHAYJCO_2022-2024,CHAYJCO_2022-2024_moe95,HCSEC_2023-2024,HCSEC_2023-2024_moe95,CHAQHIB_2022-2024,CHAQHIB_2022-2024_moe95,LEQ_2020-2024,LEQ_2020-2024_moe95,POP_2020-2024,POP_2020-2024_moe95,HCSZKLF_2023-2024,HCSZKLF_2023-2024_moe95,TSD_2024,TSD_2024_moe95,CHM_2024,CHM_2024_moe95,EKG_2024,EKG_2024_moe95,TNF_2020-2024,TNF_2020-2024_moe95,HTA_2020-2024,HTA_2020-2024_moe95,CHADXHPR_2021,CHADXHPR_2021_moe95,CCR_2017-2021,CCR_2017-2021_moe95,CCP_2017-2021,CCP_2017-2021_moe95,CCG_2017-2021,CCG_2017-2021_moe95,CCC_2017-2021,CCC_2017-2021_moe95,CCO_2017-2021,CCO_2017-2021_moe95,HCSATHP_2023-2024,HCSATHP_2023-2024_moe95,HCSDIAP_2023-2024,HCSDIAP_2023-2024_moe95,HCSHYTP_2023-2024,HCSHYTP_2023-2024_moe95,HCSOBP_2023-2024,HCSOBP_2023-2024_moe95,CHAVQOS_2023-2024,CHAVQOS_2023-2024_moe95,HCSUMHAP_2023-2024,HCSUMHAP_2023-2024_moe95,MEODL_2023,MEODL_2023_moe95
Community area,Portage Park,15,63038,-87.76340100,41.95404300,32.011371734,10.809315894048,24.55545173,12.434787233371999,10.88232495,,92328.88122555522,10045.002935001892,43196.382563801606,3131.4467834205875,61.09309415409089,,57.629882109,11.124886887688,4.4233576458,3.2973778928160002,,,,,,,67.12278759,25.7255125204,20.173689198744945,2.649827490111124,63049.27293122433,,21.90667411,9.42005861188,4.64618284819278,,1.0956555571869506,,99.99999999999999,,2.648854973284644,1.2593198392140668,5.735185091845352,2.260062502696441,469.8,,505.0334803379957,25.96160368933887,102.46859884604932,17.06534717021303,66.24884712718136,9.552471549696211,10.51162930011094,5.0145694966251275,45.87916421685247,7.799975595876283,7.6146497707,4.883256445984,12.996586823,6.675852874599999,37.389612954,10.419904485256,46.674159207,11.152294762112,25.152022299,9.641029643000001,74.406871409,14.505549745343998,10.0,
Community area,Irving Park,16,51911,-87.72345700,41.95358900,28.72429838,10.561470247664,17.200077227,10.140767355964,14.6404423,,93122.02124928293,11222.38828123577,54919.94076035927,5851.891065069217,72.06738275114799,,58.175022104,11.028485905863999,7.9630651491,5.64864410488,,,,,,,,,14.850692710837034,2.5833158669743854,53301.720432851886,,21.58453252,9.3451271788,5.153116118538376,,1.1116174172840376,,99.99999999999999,,3.388020156528721,1.3758572162343323,5.692251194339644,2.2829185830233483,296.6,,468.9398800742909,29.23669253486056,89.82029909538679,18.591754086913706,52.630941962995934,10.21660535736714,11.125236419227576,5.9969887423228405,50.34939026175564,9.584948720476817,9.8254642079,5.6292248858719995,7.4838888764,5.378112539044,32.58162971,10.044259885772,29.290471157,10.271961120988,30.815175959,10.933290273864001,66.612207972,13.485314897488,10.0,
Community area,Dunning,17,43120,-87.80601500,41.94652200,29.319988833,11.130437029096,18.558337874,10.583916036147999,9.021335807,,88162.72773993322,10882.174881452627,43120.509380571755,3672.9141481896504,46.64687803130827,,67.508583052,11.311138265363999,3.2002258178,2.830447926404,,,,,,,,,20.10364950930022,2.960019265410373,41208.045989819395,,25.43081494,11.36555643664,5.650546291396292,,1.4997982514217,,100.0,,2.7596214805030232,1.5676329200031325,3.8464375027203768,1.9434742481205156,600.8,,513.2787557993022,29.324885751886782,101.77053687292076,18.706400833782517,59.79893759470468,9.950491502822736,8.714307442988977,5.418810613350272,56.05435297301723,9.686063880919999,5.2913554449,3.884853037548,25.882972086,11.642231467048001,40.385533743,12.120365082167998,36.964782465,11.985940070356001,20.905151801,9.719902452624,78.445974918,15.91603501096,10.0,
Community area,Montclare,18,14412,-87.79803300,41.92930600,40.862540481,14.939654592156,24.753011328,14.961992805844,8.60394116,,73308.6421283585,17845.0115889875,31233.73288468904,5088.675379649333,72.0765372053945,,58.235646678,14.972343410612,3.9004226755,3.703785394372,,,,,,,,,24.485822890973232,7.520265559317639,14290.310832940955,,30.80806027,12.776727706960001,5.988274362126005,,1.518020931245032,,100.00000000000001,,2.0495700566833044,2.266812891717765,6.59152141380348,6.143016171438986,696.9,,486.7704963071288,51.279101904600246,116.1144555577027,36.49089077686918,65.10621624404001,18.8394879344,,,43.02323217901517,15.160649051988543,,,15.201223053,9.033838191672,39.257072825,14.508760246904,46.652645265,15.53678316848,27.0978114,15.207202344348,75.431325432,18.355474009795998,4.0,
Community area,Belmont Cragin,19,78151,-87.76550200,41.92727500,45.565281373,6.748845003123999,26.233495917,6.475037625588,12.11756727,,69937.27463039989,8574.45553809531,26727.0421724634,1955.342881383372,59.19061802597344,,54.560932346,6.757810849664,7.084037853,2.745605796836,5.7164462303,2.823375528064,1300.0,989.29380256,3000.0,1488.8852981128,71.13256984,23.2349781524,36.25591428254623,2.553683811544235,72131.65463459128,,35.90111123,6.704476853759999,5.416907611807196,,0.9644380026804411,,100.0,,4.537938996058748,1.814350460670056,5.809996411533755,1.9344406912579533,483.4,,435.7080965215407,23.908249649690323,97.71790407950772,16.527614111398584,39.52102209081679,7.498395593876643,11.7665747,5.027898848807965,47.68029994613886,7.9483503795534505,10.803313563,4.1569329688879995,15.070946003,5.131072079868,29.24014098,6.228199829236,43.60875636,6.800812121684,34.783402333,6.527370237108,83.601383159,6.828900566712,19.0,
Community area,West Ridge,2,77139,-87.69501700,42.00158300,33.725138153,10.008670978404,11.080577502,9.058388583468,9.878271691,,71334.90396562577,8430.051139124324,34945.22512363276,2879.051674690167,57.24093943726916,,55.917842732,10.664299666692001,11.951055993,6.5602949986,4.0056867299,3.550111435612,,,2000.0,1815.9198121176,57.94077403,24.0836249108,24.39561659452776,2.774881994590507,78390.30821852958,,21.72159438,8.2443600442,4.822766070814926,,0.4433947495227769,,100.0,,3.5207612424745243,1.5058526730347066,5.664529535570136,2.2136387442419183,400.5,,465.3343692376813,22.751763242834958,100.56789294351763,15.163205728522358,49.66620186027576,7.486591837220886,8.009090125280759,4.206138635950151,41.929645836058505,6.801970965016799,6.9158994154,3.906787322872,11.502965998,5.378662383331999,32.895389396,9.627064641432,35.077570304,9.618632719079999,38.417917309,10.382756975304,65.747149948,14.484897606564,5.0,
Community area,Hermosa,20,24127,-87.73474100,41.92435300,47.116872667,12.381108387228,31.144324124,12.012539090999999,13.67762258,,70459.88115335886,9677.224939741598,29141.093912594268,3130.7611225294845,72.01336611801142,,40.382951123,11.835556889464,8.1485997362,5.113483984784001,9.1766780433,6.854347726912,,,2100.0,1667.0381346387999,80.65739209,17.81095253672,36.02436864683503,4.899382312079182,22644.717835658757,,24.66512691,10.52066099084,6.071171076393003,,0.6654369823882281,,100.00000000000001,,3.464555187876681,2.2211086567072003,9.73076302250744,4.067371976726495,560.3,,375.5718073330882,40.50987801622223,102.26764877054458,31.03051415173933,28.74011873970265,11.905743746901852,,,40.973893870672256,13.565805274354782,21.956990843,10.933791678319999,19.869913658,10.843310628164,30.824558447,11.8774950812,32.556876526,10.953121199104,38.371545214,12.626223298108,83.705943277,11.121034422624,4.0,
Community area,Avondale,21,36245,-87.71121900,41.93867300,25.721986631,9.926382486384,20.385215908,10.352561214324,15.80907711,,91966.21809322323,10342.265799221506,51235.8985335033,4686.106172629141,72.07865839504433,,55.93645859,10.597450962952,7.0893756186,5.757444707028,7.2806727884,5.132891720936,,,2000.0,1444.3716045584,78.7287557,21.2946002024,18.203030362828134,3.5638420538519426,35520.9017778837,,17.90313692,8.089446259999999,7.38449549592079,,0.6152426741989779,,100.0,,3.3481939525872564,1.6518238843654822,4.550712811429027,2.0578728958079724,353.1,,434.8255528126616,38.49540106118809,114.50549557729236,29.903112365711877,34.05053010463236,11.088948246315354,8.757348777785447,7.33930430528877,33.57747620354331,10.500145858763553,15.204180087,6.74877188062,3.7292693976,2.469047444836,24.270268037,9.37800882284,30.338386336,10.026281276172,38.927660846,10.784160007488,78.08739498,11.160776899664,6.0,
Community area,Logan Square,22,71742,-87.69914900,41.92276800,13.99795241,7.420137970448,19.398887156,12.218729167848,15.95996766,,111832.89554093764,6623.057211426636,72563.30814273265,4078.1917624083408,71.52757242559049,,48.084065645,10.206237459208001,9.896564652,6.935532659355999,11.165956609,7.348115857292,,,6100.0,4354.343052668,55.80850808,28.055943328,11.526731697316057,2.069661454417369,71426.58839418365,,13.88361697,6.114291730120001,7.07501150531467,,0.6841397048156218,,100.0,,3.2758612975974772,1.0861355794775904,4.125813306655847,1.2622380715368025,242.7,,383.15754804072833,27.744514040686933,102.32979187883534,20.991025652954242,41.84177694208511,9.688887966588808,9.936584986441424,6.32212040351126,37.05800757404353,8.71331960149746,9.7422015722,4.935406207928,5.373363048,3.763523155784,26.416264855,10.664879090124,13.048482956,5.984040639444,36.691001072,10.57398677258,66.873937393,12.411409609732,12.0,
Community area,Humboldt Park,23,53832,-87.72091700,41.90008000,42.362204513,8.819988827412,23.346802123,7.45481775612,13.41209689,,58409.067092820536,9213.948205314293,27962.444320164195,2625.0188866967583,66.40036136314792,,45.418729873,8.81177447584,13.690931808,6.054670243944,7.2502688922,4.599205024568,2500.0,1381.492353892,2900.0,1941.369099068,88.74755926,12.89704735788,21.887964545749753,4.07753669962162,55766.9553330079,,31.54045749,7.88318568744,8.507785685687185,,1.129819367856017,,100.0,,4.4543951098451,2.3326265379308833,14.170999242108802,5.0677879003539505,625.6,,417.1523758483587,28.632786997417902,124.59277993912058,22.947586394028892,48.36570990895135,9.986875331402555,11.658793589449456,6.106656029881849,40.68350465968997,8.95253037201327,9.443521607,4.208636453924,17.887949417,6.49671488886,35.307010609,8.095662271816,47.693013238,8.894748038036,39.048213571,8.818714630236,84.673327717,6.3305389452480005,59.0,
Community area,West Town,24,87942,-87.67635800,41.90121600,15.19908204,5.229619770312,13.874310308,6.178897725028,21.29812831,,141145.37633519724,10567.075906710375,94349.66957071632,5357.53390343197,71.32480941323496,,59.89661092,6.605735844008,6.7925453278,3.7327676172359996,9.8743308358,4.606676449312,,,5800.0,2899.9284912919998,55.37666962,26.567059414,7.060237777571213,1.4067306041068552,88181.67603039017,,17.72323546,5.26660703772,9.25760020534349,,1.4975726595238574,,100.00000000000001,,2.225039647211664,0.8450587455675964,2.8832591531875584,1.0039366356576063,296.2,,440.4248903326024,28.344193972859618,100.17168519475165,19.593012155503807,56.18562524924821,10.746591504040001,6.620637506789141,3.9814458770006445,45.71641110895028,9.150982567481828,9.8577105316,4.107606355468,4.1835008507,2.4368906309439997,23.518420758,5.676982389148,18.513276843,5.33592210158,27.659037713,5.800969206144,64.00684598,9.050728034599999,16.0,
Community area,Austin,25,96753,-87.76311700,41.89411300,50.719827352,7.472762078852,35.027151684,7.796301266487999,10.56297996,,51826.85140200681,8830.046017852932,25293.09143003252,1911.2449580210723,70.11426789136353,,42.564094149,7.426654537091999,18.293970998,5.273667764848,7.8707725232,4.4297425753,10000.0,4744.41313612,5800.0,3451.9744300439997,92.44203334,7.27342958944,8.80441420648607,1.6064322614576008,97671.11079977907,,35.83255756,7.08170245412,8.237083242427902,,1.5903976246274503,,100.0,,7.1519616709777285,1.9839902598594428,12.677921144898903,2.827672758910411,687.5,,568.5819663232436,22.378216073263534,174.35803808428932,18.519410569457147,90.150320367667,9.028297069037864,10.058017985077631,3.8697991368638807,53.70769204474608,6.895683567206818,17.123345929,5.91875442928,21.794625908,5.861601168556,36.920544118,7.0625999274039994,49.353446523,7.5673311133559995,29.702619318,7.1172651535439995,83.811460279,8.872182866735999,124.0,
Community area,West Garfield Park,26,17423,-87.73023300,41.87860200,48.709565679,13.359634590512,49.179961684,14.399003559696,12.74177811,,43272.653887734705,11067.609838799443,21332.538967606866,2710.6131049989935,72.0680208881313,,51.292697803,13.326566302336,24.691520431,11.947811117648,,,2100.0,1409.1831213879998,,,98.41744112,3.1577436814,3.881574599713703,3.408221298157749,15086.162549728782,,44.29493932,13.52559817028,11.662055116914846,,2.277916297914354,,100.0,,5.692090089240678,2.7143657858495844,13.823224698805,5.995596509433275,925.4,,525.5757547314353,53.46442733456338,161.86338161301077,43.15664164626062,90.45644359330764,22.357756816119657,16.568860723904802,12.444971032868738,45.93295716021958,16.05708242067974,17.122461536,10.206606514664001,24.456588726,12.151426189224,38.521496596,12.982963784224,40.106835175,12.695920894776,32.647303411,12.699459888416,75.040981647,17.2179022351,56.0,
Community area,East Garfield Park,27,19995,-87.70589200,41.87892300,36.81063934,13.137712259279999,27.659458438,13.191342239684,11.00275069,,39861.333804728056,8779.000167729228,24331.60038421928,3736.056637117407,72.03828226263109,,40.652919507,13.041406383908,24.483694999,11.754535827916,,,2400.0,1377.1804662,,,91.0488934,11.894422707439999,1.8979338514476374,2.4158204429625956,20739.825816661003,,32.97647659,12.157565780639999,9.928570400057941,,2.2722678594075316,,100.00000000000001,,4.6929575589860155,3.4570876674619355,21.670185583788964,6.507945888045256,843.9,,568.5871321783053,55.23033691249343,214.1379373799562,51.74760905443609,84.00377234921645,21.641974802980453,,,50.939622487337736,16.47123560264,8.6614012871,5.1371212731439995,24.721802725,11.795228649176,28.288812907,10.627428876988,46.106828415,13.059449068848,22.645822596,9.880534462344,80.122888026,15.561326419603999,48.0,
Community area,Near West Side,28,67817,-87.66351300,41.87401600,17.522772915,5.8818391513,14.066483517,7.444011170092,33.97378239,,116881.23240702033,13465.283378317463,86801.38424015904,9501.411720991378,72.08,,58.283954327,8.253234975356,11.169556181,5.67113334774,10.649736516,5.466971946548,,,5600.0,3054.066898708,58.01096347,25.2268070432,6.0085843317920755,2.0907970841762546,68097.64749596105,,12.64778913,5.54444067744,11.188390587638107,,2.3316843382846297,,100.0,,2.98003289761301,1.4339667955975162,3.3942577749314564,1.2805478691739345,466.0,,506.7438813595701,33.31749469492687,153.11953408242312,26.990017553086204,84.81005092015798,14.15388865156,3.644305920244213,3.320740787978148,48.80658149641085,10.197253069660308,7.7430808803,4.057365372452,5.3588062181,3.215851515632,25.934483947,6.9683729087840005,22.150837704,7.5359567210759995,30.215843828,7.505992714415999,78.730016161,8.32230675794,41.0,
Community area,North Lawndale,29,34817,-87.71721800,41.86019700,45.478145358,11.522661633923999,19.29645879,10.45007660158,8.874974869,,47668.100820325926,8879.874252682142,24256.835408720963,3765.468574495945,71.14424255578,,35.344765404,10.837907907763999,19.263114379,9.291846920216,14.163708357,11.703813956744,2800.0,2046.13403848,3400.0,3148.587778952,95.80071982,6.9595151172400005,5.469887645955246,2.609872381498712,33979.92102222128,,40.06730963,11.3985905922,13.978727535918438,,3.300783401315995,,100.00000000000001,,7.506362073464159,3.2619658960050026,16.391170359808434,4.882679927665018,989.1,,583.9528122459304,43.1133603810796,171.61047248194504,34.965805081199996,86.77898311813436,17.07040845529946,9.541748283809394,6.440230868737039,62.06185988462902,14.150903876290794,23.037848378,12.292979396852,23.260440946,9.583167704291998,39.503613189,11.268765448527999,47.402279104,11.877206930624,28.259126092,10.125812647888,83.453246717,13.570864837544,57.0,
Community area,Uptown,3,55120,-87.65589900,41.96582200,23.92863824,9.029348197408,14.623851287,8.362147797108001,11.99201742,,73109.52685334624,7570.537944221759,55561.67648224392,3664.8743552470974,71.10294797892806,,55.885308218,9.678075951488,15.623611536,7.628570138923999,7.7113577738,4.638596814684,,,3700.0,2282.723421328,49.67293767,21.457906520399998,13.238442154414985,3.136710052385433,54490.99263491023,,29.44135309,9.564160955719998,3.469427384800678,,0.36943842696683676,,100.00000000000001,,3.544355307389917,1.5678860386564268,3.178116624612245,1.7232472368026748,248.7,,527.2634706618426,29.659302100681447,117.92717195482447,20.189748297980053,63.52831769970818,10.55009280718326,8.114848821,5.141342282961478,55.51115714679781,9.741157741915089,11.458135702,6.9077407566439994,9.0204215497,5.727276605568,39.197358613,9.866809223459999,25.744233722,8.60182455118,46.5309199,9.741610552968,60.111310413,11.773422472588,26.0,
Community area,South Lawndale,30,71402,-87.71400000,41.83909100,43.31564596,7.2383121438039995,28.330611882,6.77956620502,12.31057954,,58666.08009178724,8995.853181288263,22871.326211352167,2089.618984044402,67.2783743069046,,39.381989918,7.1324043415239995,6.919136346,2.9400359111200003,4.2285349708,2.3143216607,,,2400.0,1304.2855268828,42.83692659,22.6058855764,37.650306399715205,3.6339339916047133,69830.03688424261,,28.52291712,6.7257806112,12.758677515549431,,4.035771672287079,,100.00000000000001,,2.6350605867791987,1.8005723217871366,7.750984253036775,3.67045395311148,389.9,,334.4205105322077,23.312897271802605,82.00060579162349,16.352577107358314,31.37050324880641,7.408910607049846,12.132328317616649,5.770410679625606,28.310286098817592,6.780847715267885,8.8472528816,3.9881333876999996,15.179846242,4.62742166908,19.815571359,5.267517052392,43.527834189,7.175340240488,30.698417226,6.803811286439999,90.558343239,4.4787775226880004,23.0,
Community area,Lower West Side,31,33716,-87.66757000,41.85027700,25.408481803,8.455981322991999,27.776772386,12.253383661876,25.62581564,,76947.75654793243,11432.743735894142,44023.52889792536,5249.2946705140075,72.08,,39.889324385,9.430155768852,8.8699147127,6.533947515927999,5.0285755172,4.13616726908,,,1100.0,946.6817507896,53.64157128,30.8886426576,24.77880946614789,3.4733304761658377,33412.04159156827,,27.74173763,9.1121682526,9.383808890714286,,3.606176132485094,,100.0,,3.837610039423831,2.906602282910878,6.142269941355779,3.027248675130555,345.4,,420.0565878056429,36.85367793474492,104.98115101738142,25.885941392648796,32.105879968021924,10.668578059500199,12.360245756493956,8.590399380857235,34.79273466604127,10.655497650515908,4.6107981307,2.749897419892,11.438964172,6.220938079020001,28.233865636,8.77299778488,28.67572083,8.696191600432,30.757605395,9.011616548396,74.760798287,11.22408803096,10.0,
Community area,Loop,32,43440,-87.62519400,41.87888100,17.108921648,8.668864654016,11.821484924,8.558533736004001,69.23127306,,119221.58409685314,17342.834135607623,100583.80046279168,14722.365939922372,72.06909347045352,,54.909021751,11.725530282816,8.5318690473,5.16078986388,,,,,,,58.51575762,26.9944077004,4.824200568729701,2.448333983931285,43756.84987517721,,10.81703182,6.2486756119199995,9.30364143599903,,3.0721624301023733,,100.0,,1.3091941124853919,1.1309495815675592,1.1850085718108527,1.242449876252908,269.2,,430.81581005934993,33.691658858215966,172.95514710756058,30.699273877645634,34.49365713,9.71606511484,8.987532905,6.605995970584395,28.879682845364197,8.574871988922922,7.9985024041,6.224310779792,,,21.253443443,9.74456165382,14.588783511,9.18112353102,30.562090981,11.211225349855999,74.880510764,15.304963319996,22.0,
Community area,Near South Side,33,27296,-87.62034400,41.85719600,18.224773807,8.262824018596001,6.2089813974,5.0554242326839995,15.05715123,,122423.50649646156,23163.198453384764,91321.74296604426,11031.053065157914,72.08,,67.089823917,9.765550624872,7.4675673439,6.605545267524,5.0454728153,4.687974939844,800.0,865.727008468,1100.0,1013.804824326,79.02250356,31.1864428232,3.43267678502185,2.1974535990845747,28903.93689669003,,11.78495773,6.4350755182,7.392751719834782,,2.3321046645582695,,100.0,,2.1512172247825614,2.32617953429709,3.2905346106584585,2.0529145409068024,1949.2,,516.9611337739118,43.22114133837792,188.47763654361407,39.117833296177274,63.91743395470888,15.757171850267312,,,36.79292027,11.507187560313692,9.1717040742,6.1787552806559995,4.5025075497,3.6877892165799997,29.276776933,9.821401450308,18.128723566,7.597779431116,28.839977218,9.124990871696,73.313155516,13.940065877052,5.0,
Community area,Armour Square,34,13847,-87.63397600,41.84208300,46.967764365,10.346569730504001,19.258386378,9.794432246816,25.1317975,,45651.44933519941,18922.169713818625,30817.58363333983,5058.392482248725,72.08,,41.547909563,9.667248679228,12.858131108,8.124907032172,1.9908629508,1.91361207436,,,200.0,219.872783438,57.61613407,32.8676900748,50.74579617576732,6.4418059128668865,13821.73561594313,,24.0601149,8.11767126352,7.83786212908381,,3.208384397522403,,100.0,,4.290250155126084,2.9899395440175294,8.15040898999018,5.557896519552684,383.9,,461.2391885908914,47.04420445746821,68.13463829239045,25.95901889873484,89.52320587056899,20.637566299678085,,,63.38612985788264,17.26204368224,4.3661972189,2.2719536246959997,16.881571986,6.889779489908,32.559281027,8.963300572912,13.012542201,5.42472187726,37.635931448,10.335482761967999,85.627572869,7.5554369462599995,1.0,
Community area,Douglas,35,20292,-87.61868000,41.83512200,40.179490958,13.690127473792,18.264664608,11.911483251472,8.525527301,,60402.6353356295,13028.668597271522,36232.670295633274,5614.0094669359705,72.08,,57.293088954,13.544734149688,9.6049428098,7.101856242516,,,,,,,87.87335838,14.38412796996,7.357792444478918,3.4262070264102147,21090.85063630398,,23.83599211,11.39893401752,6.412467240204773,,2.7716962489276997,,100.0,,4.221165046547754,1.8385614482513832,7.789568952128168,2.148358639073408,803.6,,596.3882596813831,50.27905055441537,181.99681656781243,42.02133713943507,107.28604871225993,21.046189363454207,16.675532452019862,11.019869237924977,50.45125314099861,15.2594256725579,8.0716716694,7.443577848588,16.506469604,10.017157443832,29.730404591,12.543741819588,35.693730837,13.56264599032,36.450566767,13.550152346836,80.530323709,15.821051766716,9.0,
Community area,Oakland,36,6803,-87.60321700,41.82375400,41.237608141,12.152077777308,28.940301976,12.920697131636,2.939879465,,32240.587511620397,20486.544351858556,39035.708088820524,11151.30878847433,72.08,,50.978817468,12.648991737088,19.931285292,10.770322650332,,,500.0,309.45785556,,,,,4.594147671207081,5.149109865703572,6940.063701843177,,32.71580177,10.932876176039999,4.124271191422612,,2.2104675314847144,,100.00000000000001,,3.609836339916475,2.866718263835238,14.35211344365403,7.609919054947753,876.8,,590.9546629669347,92.15886627918825,166.38550962182958,75.87735700554045,130.0043287554508,44.707242062851854,,,64.31622312653394,30.07447612534698,17.736992053,10.028338072143999,13.98803702,7.724525849712,44.753557892,12.6532256501,45.244557652,12.482607340811999,23.454523089,9.965791901015999,75.705629214,16.427317247403998,7.0,
Community area,Fuller Park,37,2549,-87.63242700,41.80908200,42.940926529,12.994027046364,43.0424022,14.591007017972,26.28481758,,22023.81053747795,6849.007677696166,17092.36867957422,5792.709100926847,72.0729042338195,,48.389343988,13.313118447356,34.739671707,12.522604124912,,,900.0,394.257230668,,,93.65108864,11.8613130272,2.9652019694921727,7.986353886746666,2340.5178060198177,,41.68912793,13.11787161244,5.395428700046485,,4.0530949550002395,,100.0,,7.979268008550049,7.125797611245148,15.741438808043801,15.03440463805898,1129.7,,643.904651093661,132.70169236917297,237.4918220801148,113.53313847691537,132.2963839,59.93063501876319,0.0,,70.22975694597974,43.79526158117336,18.832887658,9.607169595184,16.329615475,9.883350161888,41.938295395,12.756789709076,42.774727617,13.22349269906,42.935011764,13.175339990792,82.281693118,12.046115803568,12.0,
Community area,Grand Boulevard,38,24586,-87.61786000,41.81294700,28.772098241,9.93095207468,21.524951329,10.140046966392001,10.29040918,,58522.89942984056,13921.395335278017,39264.202223784865,6108.977231409171,72.08,,53.32666386,11.260813152092,14.855559232,7.86088268182,6.0894849819,5.377909838,900.0,587.634388264,800.0,758.6980821308,88.74424244,11.50702237468,3.0525047406579326,2.413116705816526,25177.249063480947,,27.28100539,9.52539711452,4.557999305794678,,2.9366569141971675,,99.99999999999999,,2.744466494372629,1.7979930008037328,11.602681427280242,3.95916630059563,1225.7,,560.4897134868121,44.29643711297442,197.9244591565699,40.239513867645904,79.49036390941488,16.847364785653134,8.654761308891834,6.949216389881159,48.51451236491634,13.089439597210541,3.0696227735,2.562659250228,17.372023771,8.507962907724,49.777871021,11.562787569284001,48.599263157,11.665673739328,35.611817313,11.044759710795999,74.748821358,15.721834255288,11.0,
Community area,Kenwood,39,19126,-87.59618600,41.80891800,27.451058482,10.856800374224,25.923991327,12.706457431808,6.274181742,,73799.33922476385,14948.162249493666,66621.80991074372,12865.073703017328,72.08,,56.47026892,12.641697405792,13.783757288,8.716778755216,,,1100.0,759.660764296,,,94.32609671,10.97779132044,2.893207793116755,2.6011962108821867,18427.525297841814,,23.65242265,10.12929078196,3.4327266210318315,,1.9163839122076607,,100.00000000000001,,3.1660130649627845,1.6997128963521642,10.226638102306083,4.780734949957559,470.5,,533.0450071266658,45.495584269754325,178.27695395514792,40.4277954418039,56.32458974215593,14.656341376034085,,,50.05598241509117,13.971747372907563,16.192912489,10.952509542492,8.4188798204,6.141024756944,39.198142373,11.989253540516,25.05301611,10.46352062182,26.048061127,11.058195547056,68.230777303,19.71311413036,7.0,
Community area,Lincoln Square,4,40412,-87.68751300,41.97518200,15.446608359,8.497388760448,7.7471507845,5.995179406468,14.87182025,,91363.09353886107,10105.393568936115,63201.96088038953,5061.736171692427,70.56946859057877,,67.45104367,11.448782034256,,,,,,,,,,,12.868333391733339,2.7668289896959597,41565.112883410984,,20.33042925,9.84035368148,4.1222137170052795,,0.3995113509662759,,100.00000000000001,,3.119333026902064,1.509813442242393,3.2984412320266845,1.975840945230688,174.8,,479.0457772050004,34.85474381845569,108.29211264179985,24.45033443358127,54.51240496,12.317925455833324,6.240612364,5.1445774771230015,45.61663051165871,10.959436684387965,4.598168014,4.19881660128,7.6242876629,7.049130758796,23.402393524,12.184944708804,25.41121372,11.921887954396,26.596807522,9.931940395664,67.345849406,15.211533711696,8.0,
Community area,Washington Park,40,12709,-87.61793600,41.79235600,48.09581203,14.860810963208,30.023333898,14.633189733036,6.05869856,,37542.62252253063,11283.907124049449,22463.41567019801,4083.850071530606,72.08000000000001,,33.049457354,15.026073598564,18.585286672,12.479856430636,5.4653627348,4.827605184612,1300.0,853.259735412,500.0,420.7860787844,91.1606454,10.80542264844,4.214621128234417,4.301576895845882,12314.668408889758,,36.64307093,14.06799632616,3.59173681709915,,2.4934256909068004,,100.0,,4.571623065169167,3.38565033591021,22.360094484257463,8.70337343681131,1180.3,,495.5512739690036,69.71166846332656,196.55613488785292,65.6690898136,71.38311357312963,25.773403686503467,,,31.60843911304652,17.916137175335834,15.874117805,10.663506810824,10.688913762,6.171686645319999,31.468838969,11.8079080448,50.632652993,14.86168103406,37.799527977,15.061343655092001,89.828758396,10.0295617905,11.0,
Community area,Hyde Park,41,29459,-87.59230500,41.79408800,10.385133028,7.460495196588,12.465966582,9.419818633596,11.67724634,,77008.65152391497,17934.128951016144,61926.511991890264,9681.110046513357,72.08,,70.49458893,11.534199715863998,10.870726345,9.843896301120001,3.1168341756,2.84858791672,,,800.0,693.7252342384,,,9.186438524357857,3.4733474314675106,30600.29143781308,,27.8591978,12.14380578684,2.950377157227442,,1.6102922869607443,,100.0,,1.4437066971340686,1.5086396300727747,3.870530771276102,2.6635455069817184,312.5,,506.8918695367954,41.28690704901507,187.04062439354936,37.295195573104515,57.83426566703996,13.886440925876633,6.395975486503119,5.962568329460201,41.99319834445717,11.91350458536,10.465641471,6.49482153768,,,23.330903213,9.568518895376,22.387003664,9.543492965832,42.371509079,12.928632086383999,60.117856147,18.95643198806,8.0,
